                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5641,                  4.133,                 4.2476,                0.00547,                0.67742,                0.03659,                0.00823,                 3.3187,                 3.7832,                 4.1584,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.4589,                 4.0108,                 4.2768,                0.00606,                0.70968,                0.07456,                0.01525,                 3.3176,                 3.7829,                  4.158,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 3.3404,                 3.9996,                  4.257,                0.00574,                0.67742,                0.02133,                0.00572,                 3.3168,                 3.7837,                 4.1575,             0.00012832,             0.00012832,             0.00012832
                      4,                 3.4599,                 3.9486,                 4.2467,                0.00592,                0.67742,                0.02373,                0.00615,                 3.3163,                 3.7849,                 4.1571,             0.00015466,             0.00015466,             0.00015466
                      5,                  3.477,                  3.976,                 4.2202,                0.00589,                0.70968,                0.03838,                0.00947,                 3.3161,                 3.7858,                 4.1568,             0.00016912,             0.00016912,             0.00016912
                      6,                  3.504,                 3.9651,                 4.2218,                0.00568,                0.67742,                 0.0599,                0.01157,                 3.3173,                 3.7845,                 4.1566,              0.0001717,              0.0001717,              0.0001717
                      7,                 3.4705,                 3.8628,                 4.1978,                0.00582,                0.67742,                0.04697,                0.00928,                 3.3174,                 3.7851,                 4.1564,              0.0001624,              0.0001624,              0.0001624
                      8,                 3.3855,                 3.9531,                 4.1966,                0.00576,                0.67742,                0.03155,                0.00658,                 3.3183,                 3.7843,                 4.1564,             0.00014122,             0.00014122,             0.00014122
                      9,                 3.3576,                 3.9272,                 4.1618,                0.00621,                0.70968,                0.02241,                0.00544,                 3.3196,                 3.7828,                 4.1564,             0.00010816,             0.00010816,             0.00010816
                     10,                 3.3392,                 3.8124,                 4.1518,                0.00626,                0.70968,                0.06248,                0.01107,                 3.3197,                 3.7837,                 4.1566,              6.322e-05,              6.322e-05,              6.322e-05
