                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7373,                 3.8666,                 4.2439,                0.00609,                0.70968,                 0.0376,                0.00812,                 3.3187,                 3.7832,                 4.1584,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.5969,                 3.7869,                 4.2552,                0.00599,                0.70968,                0.05901,                0.01036,                 3.3175,                 3.7828,                 4.1579,              9.802e-05,              9.802e-05,              9.802e-05
                      3,                 3.4413,                 3.7579,                 4.2513,                0.00617,                0.70968,                0.01514,                0.00508,                 3.3165,                 3.7835,                 4.1572,             0.00015366,             0.00015366,             0.00015366
                      4,                 3.5939,                 3.7765,                 4.2188,                0.00598,                0.70968,                0.02679,                0.00674,                 3.3154,                 3.7841,                 4.1562,             0.00020693,             0.00020693,             0.00020693
                      5,                 3.7387,                 3.7262,                 4.2164,                0.00608,                0.70968,                 0.0315,                 0.0075,                 3.3157,                 3.7825,                 4.1552,             0.00025782,             0.00025782,             0.00025782
                      6,                  3.765,                 3.6807,                 4.1887,                0.00595,                0.70968,                0.06923,                0.01583,                 3.3147,                 3.7819,                  4.154,             0.00030634,             0.00030634,             0.00030634
                      7,                 3.5967,                 3.5957,                 4.1626,                0.00557,                0.67742,                0.06105,                0.01271,                 3.3142,                 3.7778,                 4.1524,             0.00035248,             0.00035248,             0.00035248
                      8,                 3.8312,                 3.6771,                 4.1529,                0.00565,                0.67742,                0.09986,                0.01992,                 3.3146,                 3.7723,                 4.1505,             0.00039624,             0.00039624,             0.00039624
                      9,                 3.6351,                 3.5697,                 4.1329,                0.00553,                0.67742,                0.05953,                0.01299,                 3.3127,                 3.7686,                 4.1486,             0.00043763,             0.00043763,             0.00043763
                     10,                 3.5639,                 3.4529,                 4.1096,                0.00555,                0.67742,                0.06852,                0.01448,                 3.3111,                 3.7663,                 4.1466,             0.00047664,             0.00047664,             0.00047664
                     11,                 3.5527,                 3.3413,                 4.0541,                0.00546,                0.67742,                0.07652,                0.01741,                 3.3102,                 3.7627,                 4.1456,             0.00051328,             0.00051328,             0.00051328
                     12,                 3.6168,                 3.3636,                 4.0582,                 0.0055,                0.67742,                0.07641,                0.01746,                 3.3151,                 3.7563,                  4.147,             0.00054754,             0.00054754,             0.00054754
                     13,                 3.6016,                 3.3356,                  4.043,                0.00542,                0.67742,                0.09009,                0.02027,                  3.316,                  3.738,                 4.1469,             0.00057942,             0.00057942,             0.00057942
                     14,                 3.5029,                 3.2195,                 3.9933,                0.00584,                0.70968,                0.02951,                0.00801,                 3.3157,                 3.7456,                 4.1518,             0.00060893,             0.00060893,             0.00060893
                     15,                 3.2702,                 3.2506,                  3.922,                0.00561,                0.67742,                0.03027,                0.00857,                 3.3188,                 3.7452,                 4.1566,             0.00063606,             0.00063606,             0.00063606
                     16,                 3.2651,                 3.2332,                 3.8478,                0.00563,                0.67742,                0.03115,                0.00795,                 3.3224,                 3.7269,                 4.1631,             0.00066082,             0.00066082,             0.00066082
                     17,                 3.2785,                 3.1395,                 3.8135,                0.00573,                0.67742,                0.04176,                 0.0092,                 3.3234,                 3.7229,                 4.1711,              0.0006832,              0.0006832,              0.0006832
                     18,                 3.4887,                 3.3056,                 3.8327,                0.00581,                0.67742,                0.05906,                0.01137,                  3.328,                 3.7582,                 4.1823,              0.0007032,              0.0007032,              0.0007032
                     19,                 3.4145,                 3.2387,                 3.7868,                0.00561,                0.67742,                0.05809,                0.00993,                 3.3365,                 3.7754,                 4.1966,             0.00072083,             0.00072083,             0.00072083
                     20,                 3.2087,                 3.1157,                 3.6912,                0.00574,                0.70968,                0.04887,                0.01276,                 3.3562,                  3.793,                 4.2323,             0.00073608,             0.00073608,             0.00073608
                     21,                 3.3127,                 3.1597,                 3.6682,                 0.0055,                0.67742,                0.05641,                0.01594,                 3.3635,                 3.7913,                 4.2471,             0.00074896,             0.00074896,             0.00074896
                     22,                 3.2573,                 3.1856,                 3.5865,                0.00562,                0.67742,                0.07232,                0.02007,                 3.3677,                 3.7869,                  4.256,             0.00075946,             0.00075946,             0.00075946
                     23,                 3.2505,                 3.1195,                 3.5124,                0.00569,                0.67742,                0.09456,                0.03203,                   3.36,                 3.7854,                 4.2529,             0.00076758,             0.00076758,             0.00076758
